Ensembl_Danio	Mouse_homology_percentage	MGI_Symbol	Ensembl_Mouse	EntrezGeneID_Mouse	EntrezGeneID_Danio	Zfin_Symbol	Description	num_orthologues	unique_ortho_check	baseMean	log2FoldChange	lfcSE	pvalue	padj	SRR3143894	SRR3143897	SRR3143899	SRR3143916	SRR5809464	SRR5809465	SRR5809466	SRR5809467	SRR5809472	SRR5809473	SRR5809474	SRR5809475	SRR6910771	SRR6910772	SRR6910773	SRR6910774	SRR6910775	SRR6910776	SRR8867570	SRR8867571	SRR8867572	SRR11033311	SRR11033312	SRR11033313	SRR11294120	SRR11294121	SRR11294122	SRR11294126	SRR11294127	SRR11294128	SRR12554271	SRR12554272	SRR12554273	SRR12554274	SRR12554275	SRR12554276
ENSDARG00000000151	72.8337	Thra	ENSMUSG00000058756	21833	30670	thraa	thyroid hormone receptor alpha a [Source:NCBI gene;Acc:30670]	1	1	74.7237435946859	-1.021307476101	0.177826013352559	6.01566903778022e-10	6.41948903547204e-09	36.6950890867123	39.3488901912065	39.6520931527867	36.1477048134876	70.08226946565	64.4856171830287	57.6789733122982	150.270775450484	128.539734028886	115.100623128624	192.847519962284	48.0973456970679	76.0283581536298	88.9909040069833	137.033985441774	60.6847254447755	84.5517487981273	133.611097279415	69.9926357737593	72.6553000932477	122.173194343603	43.8834557240926	52.8507475081304	31.1100002945576	40.6266438511602	29.7049045512893	28.3491621547738	49.0984562053851	37.1854466033158	45.3218356835401	88.6737089938933	92.7808432876571	73.7822470583497	84.7365574503157	77.253572330269	90.028602904132
ENSDARG00000000175	50.6112	Hoxb2	ENSMUSG00000075588	103889	30338	hoxb2a	homeobox B2a [Source:NCBI gene;Acc:30338]	1	1	7.88831467801841	-1.06957137837637	0.368066266236664	0.000247838139715302	0.000917881242095373	4.46722823664323	6.31067106840104	3.51347660847477	3.0123087344573	23.36075648855	0	0	0	0	25.5779162508054	0	0	7.52756021323067	7.73833947886811	13.1614562288709	9.05742170817545	11.4924707104251	8.46830898249814	17.3433079793386	13.2100545624087	18.7200862300682	2.58137974847604	6.00576676228754	2.66657145381922	2.9368658205658	5.53820254346072	6.96295210819007	5.69257463250842	2.02829708745359	3.43347240026819	6.36056140462526	8.15655765166216	10.4868168407807	23.9256162212656	12.0433325685971	12.1989976834867
ENSDARG00000000241	67.0818	Slc40a1	ENSMUSG00000025993	53945	58153	slc40a1	solute carrier family 40 member 1 [Source:NCBI gene;Acc:58153]	1	1	629.799133567583	1.14645012469436	0.116778424112515	7.04415327127921e-24	4.02299420159724e-22	978.642071556057	1030.49546387537	1182.03391613687	869.051069890931	317.70628824428	655.603774694125	388.022184100915	378.682354135221	696.820663419753	633.053427207433	375.545170452868	713.443961173174	688.771759510607	533.9454240419	602.330173297741	355.956673131295	492.534459018217	495.86653708628	142.462886973138	184.940763873722	103.453108113535	851.855316997092	1028.18726970363	1103.96058188116	757.711381705976	1215.88719476888	1255.81814808428	1019.68243104807	840.391093234938	1021.80138631981	445.613448994628	437.395404070383	437.824603102593	137.821518441249	147.457389010627	151.999511136245
ENSDARG00000000370	NA	NA	NA	NA	368847	triob	trio Rho guanine nucleotide exchange factor b [Source:ZFIN;Acc:ZDB-GENE-030616-399]	1	1	101.954942596799	-1.8478347154763	0.191730201855551	3.82728032605428e-23	2.05020664215533e-21	39.5668786674115	37.8640264104062	50.192522978211	30.123087344573	93.4430259542001	139.718837229895	183.524005993676	108.194958324349	230.018471420113	159.861976567533	142.098172603788	72.1460185456018	99.3637948146449	176.434140118193	121.549919290161	194.734566725772	148.581228470496	89.3877059263693	164.142021947312	160.722330509306	68.9687387423565	54.2089747179968	19.2184536393201	38.2208575047421	42.0950767614431	48.3334040156572	46.2538961472626	38.4248787694318	31.1005553409551	32.274640562521	134.694241509711	147.497750867557	116.478572767242	144.55059800348	152.450965929314	113.938638363766
ENSDARG00000000380	73.1935	Pde6b	ENSMUSG00000029491	18587	368410	pde6a	phosphodiesterase 6A, cGMP-specific, rod, alpha [Source:ZFIN;Acc:ZDB-GENE-030616-42]	1	1	3.33045754210812	1.04788191738711	0.561094035080488	0.00496635110926901	0.0130732334772466	5.10540369902084	4.45459134240073	3.01155137869266	6.52666892465748	0	10.7476028638381	0	6.01083101801938	0	0	10.1498694716991	0	2.2582680639692	2.32150184366043	0	0	0.820890765030363	2.82276966083271	3.7164231384297	0.733891920133816	0.985267696319378	12.9068987423802	3.60346005737252	0.888857151273073	5.8737316411316	6.04167550195715	5.96824466416291	3.55785914531776	6.76099029151197	2.74677792021455	1.49660268344124	2.71885255055405	0.374529172885024	2.9907020276582	2.34991854997016	1.95183962935788
ENSDARG00000000476	46.4286	Pms1	ENSMUSG00000026098	227099	368631	pms1	PMS1 homolog 1, mismatch repair system component [Source:ZFIN;Acc:ZDB-GENE-030616-528]	1	1	101.234870910662	1.10634084973196	0.29925521264194	1.36444777227439e-05	6.68384354614468e-05	172.307374841953	189.320132052031	192.73928823633	167.685186218123	23.36075648855	16.1214042957572	52.4354302839075	102.184127306329	81.1829899129809	76.7337487524161	40.5994778867966	8.01622428284465	41.4015811727687	44.1085350295482	43.355385224516	63.4019519572282	51.7161181969128	53.6326235558216	26.6343658254128	33.7590283261555	33.4991016748588	81.3134620769952	147.741862352274	151.994572867696	683.80025855507	144.496739088475	465.025730082694	70.4456110772916	79.7796854398412	69.3561424854174	47.1429845283989	49.6190590476115	49.0633216479381	25.9194175730377	31.1364207871046	33.4252536527536
ENSDARG00000000606	70.6702	Dnah6	ENSMUSG00000052861	330355	100148193	dnah6	dynein, axonemal, heavy chain 6 [Source:ZFIN;Acc:ZDB-GENE-030616-623]	1	1	4.41056796600939	1.02456583254827	0.516077325069054	0.00387613501576366	0.0105401187454725	5.74357916139844	7.05310295880116	4.01540183825688	4.51846310168595	0	0	0	6.01083101801938	0	12.7889581254027	10.1498694716991	16.0324485656893	3.01102408529227	4.64300368732087	6.19362646064515	3.62296868327018	0	0.940923220277571	3.7164231384297	3.66945960066908	6.89687387423565	3.87206962271406	3.60346005737252	4.44428575636537	7.83164218817546	5.53820254346072	8.95236699624437	2.84628731625421	4.73269320405838	0.686694480053638	0	1.35942627527703	2.24717503731014	6.23062922428792	3.52487782495524	3.90367925871575
ENSDARG00000000767	51.3514	Spi1	ENSMUSG00000002111	20375	30117	spi1b	Spi-1 proto-oncogene b [Source:ZFIN;Acc:ZDB-GENE-980526-164]	1	1	318.956896481942	1.03480829491326	0.238695811244609	9.55465730308379e-07	5.85982789372082e-06	895.998349178157	667.81748541491	272.043474541904	182.244678434667	121.47593374046	102.102227206462	120.601489652987	66.1191411982132	182.661727304207	191.83437188104	263.896606264178	144.292037091204	227.332318439566	155.540623525249	216.77692612258	89.668474910937	98.5068918036435	98.796938129145	883.269899233458	477.02974808698	260.110671828316	165.208303902466	254.644510720992	249.768859507734	1041.60841102734	568.924443100965	897.226114512492	118.832495453613	386.052545645333	100.257394087831	92.7893663733567	109.77367172862	92.8832348754859	270.658533503067	693.519712059943	722.180662862414
ENSDARG00000000796	56.7944	Nr4a1	ENSMUSG00000023034	15370	431720	nr4a1	nuclear receptor subfamily 4, group A, member 1 [Source:ZFIN;Acc:ZDB-GENE-040704-11]	1	1	1309.2817698412	1.69098129838599	0.369561352516708	2.55779779921472e-07	1.74794994901701e-06	2362.2064739907	2375.03961738999	1913.84090115919	2325.00029154529	719.51129984734	1413.30977659471	755.070196088268	408.736509225318	317.966710492509	249.384683445352	355.24543150947	136.275812808359	480.258341604117	366.023457350462	438.973275398225	108.689060498105	629.623216778288	219.235110324674	847.344475561971	1141.93582772822	2782.39597440592	5699.68648463509	962.123835318464	472.872004477275	3241.81038826788	1046.21680775558	1942.16628446302	3286.03870661548	1358.95904859391	2337.50801010258	697.791001154477	713.698794520439	689.882736454214	1956.41757642641	1160.56602386651	1222.33956788537
ENSDARG00000000887	19.7802	Gtsf1l	ENSMUSG00000070708	68236	405758	zgc:56699	zgc:56699 [Source:ZFIN;Acc:ZDB-GENE-040426-2099]	4	1	4.64934669286868	-2.64624881260882	0.629815200612946	7.20321929835797e-07	4.53229665441422e-06	0.957263193566407	3.34094350680055	1.00385045956422	1.00410291148577	4.67215129771	0	0	0	0	6.39447906270134	0	8.01622428284465	3.01102408529227	6.9645055309813	9.29043969096772	3.62296868327018	4.92534459018218	23.5230805069393	4.33582699483465	8.80670304160579	13.7937477484713	1.29068987423802	1.20115335245751	1.77771430254615	1.95791054704387	3.524310709475	2.98412233208146	0.711571829063552	0.676099029151197	0	7.48301341720618	13.9341193215895	5.24340842039033	10.4674570968037	5.8747963749254	6.58745874908283
